State,AgeGroup,Year,Value,Selected_object
Coffee_mug,first_object,vgg,55,coffee_mug
Coffee_mug,first_object,incep,90,coffee_mug
Coffee_mug,first_object,NAS,80,coffee_mug
Coffee_mug,second_object,vgg,40,cup
Coffee_mug,second_object,incep,7,cup
Coffee_mug,second_object,NAS,5,cup
Coffee_mug,third_object,vgg,2,pitcher
Coffee_mug,third_object,incep,1,pitcher
Coffee_mug,third_object,NAS,0,espresso
Hammer,first_object,vgg,96,hammer
Hammer,first_object,incep,99,hammer
Hammer,first_object,NAS,97,hammer
Hammer,second_object,vgg,2,nail
Hammer,second_object,incep,0,crutch
Hammer,second_object,NAS,0,piggy_bank
Hammer,third_object,vgg,1,hatchet
Hammer,third_object,incep,0,nail
Hammer,third_object,NAS,0,nail
Notebook,first_object,vgg,46,notebook
Notebook,first_object,incep,25,notebook
Notebook,first_object,NAS,25,notebook
Notebook,second_object,vgg,18,laptop
Notebook,second_object,incep,24,mouse
Notebook,second_object,NAS,18,desktop_computer
Notebook,third_object,vgg,4,mouse
Notebook,third_object,incep,1,computer_keyboard
Notebook,third_object,NAS,14,mouse
Pot,first_object,vgg,27,ashcan
Pot,first_object,incep,18,Dutch_oven
Pot,first_object,NAS,23,Crock_Pot
Pot,second_object,vgg,14,bucket
Pot,second_object,incep,11,measuring_cup
Pot,second_object,NAS,22,Dutch_oven
Pot,third_object,vgg,4,coffeepot
Pot,third_object,incep,8,pitcher
Pot,third_object,NAS,9,water_jug
Soap_dispenser,first_object,vgg,98,soap_dispenser
Soap_dispenser,first_object,incep,68,lotion
Soap_dispenser,first_object,NAS,46,soap_dispenser
Soap_dispenser,second_object,vgg,0,water_bottle
Soap_dispenser,second_object,incep,21,soap_dispenser
Soap_dispenser,second_object,NAS,37,lotion
Soap_dispenser,third_object,vgg,0,lotion
Soap_dispenser,third_object,incep,2,hair_spray
Soap_dispenser,third_object,NAS,1,sunscreen
Sunglasses,first_object,vgg,80,puck
Sunglasses,first_object,incep,39,sunglasses
Sunglasses,first_object,NAS,73,sunglasses
Sunglasses,second_object,vgg,7,balloon
Sunglasses,second_object,incep,35,sunglass
Sunglasses,second_object,NAS,25,sunglass
Sunglasses,third_object,vgg,2,soccer_ball
Sunglasses,third_object,incep,3,sandbar
Sunglasses,third_object,NAS,0,sandbar
Umbrella,first_object,vgg,87,umbrella
Umbrella,first_object,incep,1,umbrella
Umbrella,first_object,NAS,89,umbrella
Umbrella,second_object,vgg,4,mortarboard
Umbrella,second_object,incep,0,mountain_tent
Umbrella,second_object,NAS,0,kimono
Umbrella,third_object,vgg,2,table_lamp
Umbrella,third_object,incep,0,lampshade
Umbrella,third_object,NAS,0,table_lamp
Wine_bottle,first_object,vgg,43,beer_bottle
Wine_bottle,first_object,incep,8,wine_bottle
Wine_bottle,first_object,NAS,72,wine_bottle
Wine_bottle,second_object,vgg,35,wine_bottle
Wine_bottle,second_object,incep,13,beer_bottle
Wine_bottle,second_object,NAS,10,beer_bottle
Wine_bottle,third_object,vgg,7,red_wine
Wine_bottle,third_object,incep,1,red_wine
Wine_bottle,third_object,NAS,5,red_wine
