id,class,position,file,horizontal_symmetry,vertical_symmetry,vgg_pixels,vgg1,vgg1_conf,vgg1_correct,vgg2,vgg2_conf,vgg2_correct,vgg3,vgg3_conf,vgg3_correct,vgg_correct,incep_pixels,incep1,incep1_conf,incep1_correct,incep2,incep2_conf,incep2_correct,incep3,incep3_conf,incep3_correct,incep_correct,NAS_pixels,NAS1,NAS1_conf,NAS1_correct,NAS2,NAS2_conf,NAS2_correct,NAS3,NAS3_conf,NAS3_correct,NAS_correct
1,coffee_mug,back,coffee_mug-back.jpg,no,no,224,cup,0.54,no,coffee_mug,0.45,yes,pitcher,0.00,no,yes,299,coffee_mug,0.73,yes,cup,0.19,no,pitcher,0.00,no,yes,331,coffee_mug,0.83,yes,cup,0.03,no,espresso,0.00,no,yes
2,coffee_mug,from_left,coffee_mug-from_left.jpg,no,no,224,coffee_mug,0.62,yes,cup,0.35,no,thimble,0.01,no,yes,299,coffee_mug,0.58,yes,cup,0.29,no,bucket,0.01,no,yes,331,coffee_mug,0.78,yes,cup,0.06,no,espresso,0.00,no,yes
3,coffee_mug,from_right,coffee_mug-from_right.jpg,no,no,224,coffee_mug,0.45,yes,cup,0.32,no,thimble,0.06,no,yes,299,coffee_mug,0.71,yes,cup,0.16,no,pitcher,0.02,no,yes,331,coffee_mug,0.71,yes,cup,0.11,no,espresso,0.02,no,yes
4,coffee_mug,on_its_side,coffee_mug-on_its_side.jpg,no,no,224,toilet_tissue,0.16,no,coffee_mug,0.09,yes,teapot,0.05,no,yes,299,pitcher,0.26,no,teapot,0.21,no,piggy_bank,0.11,no,no,331,coffee_mug,0.51,yes,water_jug,0.09,no,pitcher,0.07,no,yes
5,coffee_mug,overhead,coffee_mug-overhead.jpg,no,no,224,bottlecap,0.16,no,water_bottle,0.13,no,bubble,0.13,no,no,299,washbin,0.11,no,soap_dispenser,0.08,no,strainer,0.08,no,no,331,soup_bowl,0.47,no,cup,0.27,no,coffee_mug,0.08,yes,yes
6,coffee_mug,rotated_from_side,coffee_mug-rotated_from_side.jpg,no,no,224,coffee_mug,0.66,yes,cup,0.22,no,espresso,0.01,no,yes,299,coffee_mug,0.85,yes,cup,0.12,no,pitcher,0.01,no,yes,331,coffee_mug,0.83,yes,cup,0.02,no,espresso,0.00,no,yes
7,coffee_mug,rotated_upside_down,coffee_mug-rotated_upside_down.jpg,no,no,224,coffee_mug,0.66,yes,cup,0.32,no,teapot,0.00,no,yes,299,coffee_mug,0.80,yes,cup,0.09,no,pitcher,0.00,no,yes,331,coffee_mug,0.84,yes,cup,0.02,no,espresso,0.00,no,yes
8,coffee_mug,straight_45,coffee_mug-straight_45.jpg,no,no,224,cup,0.50,no,coffee_mug,0.30,yes,espresso,0.10,no,yes,299,coffee_mug,0.77,yes,cup,0.18,no,cofeepot,0.00,no,yes,331,coffee_mug,0.77,yes,cup,0.13,no,coffeepot,0.00,no,yes
9,coffee_mug,straight_on,coffee_mug-straight_on.jpg,no,no,224,coffee_mug,0.55,yes,cup,0.40,no,pitcher,0.02,no,yes,299,coffee_mug,0.90,yes,cup,0.07,no,pitcher,0.01,no,yes,331,coffee_mug,0.80,yes,cup,0.05,no,espresso,0.00,no,yes
10,coffee_mug,upside_down,coffee_mug-upside_down.jpg,no,no,224,coffee_mug,0.84,yes,cup,0.14,no,thimble,0.01,no,yes,299,coffee_mug,0.90,yes,cup,0.02,no,pitcher,0.01,no,yes,331,coffee_mug,0.84,yes,cup,0.03,no,espresso,0.00,no,yes
11,hammer,back,hammer-back.jpg,no,no,224,hammer,0.89,yes,nail,0.08,no,hatchet,0.01,no,yes,299,hammer,0.99,yes,crutch,0.00,no,screwdriver,0.00,no,yes,331,hammer,0.95,yes,nail,0.00,no,piggy_bank,0.00,no,yes
12,hammer,from_left,hammer-from_left.jpg,no,no,224,nail,0.24,no,crutch,0.14,no,pole,0.10,no,no,299,parking_meter,0.16,no,screwdriver,0.09,no,vacuum,0.04,no,no,331,hammer,0.93,yes,hatchet,0.00,no,parking_meter,0.00,no,yes
13,hammer,from_right,hammer-from_right.jpg,no,no,224,hammer,0.14,yes,pole,0.10,no,spatula,0.07,no,yes,299,pole,0.39,no,hammer,0.06,yes,microphone,0.05,no,yes,331,hammer,0.92,yes,hatchet,0.00,no,shovel,0.00,no,yes
14,hammer,on_its_side,hammer-on_its_side.jpg,no,no,224,nail,0.32,no,vacuum,0.10,no,unicycle,0.08,no,no,299,hammer,0.96,yes,hatchet,0.01,no,reel,0.01,no,yes,331,hammer,0.90,yes,nail,0.01,no,hatchet,0.00,no,yes
15,hammer,overhead,hammer-overhead.jpg,no,no,224,nail,0.38,no,screw,0.14,no,hammer,0.09,yes,yes,299,perfume,0.45,no,screw,0.10,no,hammer,0.07,yes,yes,331,hammer,0.84,yes,nail,0.05,no,screwdriver,0.00,no,yes
16,hammer,rotated_from_side,hammer-rotated_from_side.jpg,no,no,224,hammer,0.31,yes,hatchet,0.30,no,scabbard,0.21,no,yes,299,hammer,1.00,yes,hatchet,0.00,no,nail,0.00,no,yes,331,hammer,0.94,yes,piggy_bank,0.00,no,screwdriver,0.00,no,yes
17,hammer,rotated_upside_down,hammer-rotated_upside_down.jpg,no,no,224,hammer,0.80,yes,hatchet,0.05,no,scabbard,0.03,no,yes,299,hammer,1.00,yes,hatchet,0.00,no,can_opener,0.00,no,yes,331,hammer,0.96,yes,piggy_bank,0.00,no,screwdriver,0.00,no,yes
18,hammer,straight_45,hammer-straight_45.jpg,no,no,224,hammer,0.88,yes,shovel,0.01,no,hatchet,0.01,no,yes,299,hammer,0.99,yes,crutch,0.00,no,nail,0.00,no,yes,331,hammer,0.92,yes,nail,0.02,no,piggy_bank,0.00,no,yes
19,hammer,straight_on,hammer-straight_on.jpg,no,no,224,hammer,0.96,yes,nail,0.02,no,hatchet,0.01,no,yes,299,hammer,0.99,yes,crutch,0.00,no,nail,0.00,no,yes,331,hammer,0.97,yes,piggy_bank,0.00,no,nail,0.00,no,yes
20,hammer,upside_down,hammer-upside_down.jpg,no,no,224,vacuum,0.24,no,Indian_cobra,0.09,no,torch,0.07,no,no,299,hammer,0.78,yes,screwdriver,0.02,no,quill,0.02,no,yes,331,hammer,0.95,yes,hatchet,0.00,no,screwdriver,0.00,no,yes
21,notebook,back,notebook-back.jpg,no,yes,224,notebook,0.15,yes,iPod,0.15,no,loudspeaker,0.09,no,yes,299,notebook,0.59,yes,iPod,0.09,no,modem,0.01,no,yes,331,notebook,0.91,yes,modem,0.01,no,mouse,0.01,no,yes
22,notebook,from_left,notebook-from_left.jpg,no,yes,224,letter_opener,0.17,no,fountain_pen,0.16,no,ladle,0.07,no,no,299,notebook,0.86,yes,modem,0.00,no,projector,0.00,no,yes,331,notebook,0.88,yes,modem,0.01,no,computer_keyboard,0.00,no,yes
23,notebook,from_right,notebook-from_right.jpg,no,yes,224,notebook,0.41,yes,modem,0.04,no,brass,0.04,no,yes,299,notebook,0.92,yes,space_bar,0.00,no,computer_keyboard,0.00,no,yes,331,notebook,0.83,yes,modem,0.01,no,space_bar,0.01,no,yes
24,notebook,on_its_side,notebook-on_its_side.jpg,no,yes,224,wallet,0.28,no,loudspeaker,0.06,no,lighter,0.06,no,no,299,binder,0.35,no,wallet,0.16,no,book_jacket,0.03,no,no,331,desktop_computer,0.25,no,loudspeaker,0.19,no,binder,0.17,no,no
25,notebook,overhead,notebook-overhead.jpg,no,yes,224,space_heater,0.12,no,brass,0.08,no,manhole_cover,0.07,no,no,299,scale,0.18,no,notebook,0.06,yes,library,0.06,no,yes,331,notebook,0.88,yes,computer_keyboard,0.05,no,space_bar,0.02,no,yes
26,notebook,rotated_from_side,notebook-rotated_from_side.jpg,no,yes,224,loudspeaker,0.07,no,table_lamp,0.04,no,switch,0.04,no,no,299,notebook,0.97,yes,mouse,0.00,no,desktop_computer,0.00,no,yes,331,notebook,0.86,yes,desk,0.01,no,desktop_computer,0.01,no,yes
27,notebook,rotated_upside_down,notebook-rotated_upside_down.jpg,no,yes,224,notebook,0.59,yes,loudspeaker,0.02,no,fountain_pen,0.02,no,yes,299,notebook,0.39,yes,computer_keyboard,0.05,no,monitor,0.05,no,yes,331,notebook,0.73,yes,mouse,0.01,no,modem,0.01,no,yes
28,notebook,straight_45,notebook-straight_45.jpg,no,yes,224,notebook,0.95,yes,space_bar,0.01,no,computer_keyboard,0.00,no,yes,299,notebook,0.82,yes,computer_keyboard,0.02,no,modem,0.02,no,yes,331,notebook,0.86,yes,space_bar,0.02,no,computer_keyboard,0.02,no,yes
