Position,Object,Model,,Selected_object,Confidence_rating
Straight_On,Coffee_mug,incep,first_object,coffee_mug,90
Straight_On,Coffee_mug,NAS,first_object,coffee_mug,80
Straight_On,Coffee_mug,vgg,first_object,coffee_mug,55
Straight_On,Coffee_mug,incep,second_object,cup,7
Straight_On,Coffee_mug,NAS,second_object,cup,5
Straight_On,Coffee_mug,vgg,second_object,cup,40
Straight_On,Coffee_mug,incep,third_object,pitcher,1
Straight_On,Coffee_mug,NAS,third_object,espresso,0
Straight_On,Coffee_mug,vgg,third_object,pitcher,2
Straight_On,Hammer,incep,first_object,hammer,99
Straight_On,Hammer,NAS,first_object,hammer,97
Straight_On,Hammer,vgg,first_object,hammer,96
Straight_On,Hammer,incep,second_object,crutch,0
Straight_On,Hammer,NAS,second_object,piggy_bank,0
Straight_On,Hammer,vgg,second_object,nail,2
Straight_On,Hammer,incep,third_object,nail,0
Straight_On,Hammer,NAS,third_object,nail,0
Straight_On,Hammer,vgg,third_object,hatchet,1
Straight_On,Notebook,incep,first_object,notebook,25
Straight_On,Notebook,NAS,first_object,notebook,25
Straight_On,Notebook,vgg,first_object,notebook,46
Straight_On,Notebook,incep,second_object,mouse,24
Straight_On,Notebook,NAS,second_object,desktop_computer,18
Straight_On,Notebook,vgg,second_object,laptop,18
Straight_On,Notebook,incep,third_object,computer_keyboard,1
Straight_On,Notebook,NAS,third_object,mouse,14
Straight_On,Notebook,vgg,third_object,mouse,4
Straight_On,Pot,incep,first_object,Dutch_oven,18
Straight_On,Pot,NAS,first_object,Crock_Pot,23
Straight_On,Pot,vgg,first_object,ashcan,27
Straight_On,Pot,incep,second_object,measuring_cup,11
Straight_On,Pot,NAS,second_object,Dutch_oven,22
Straight_On,Pot,vgg,second_object,bucket,14
Straight_On,Pot,incep,third_object,pitcher,8
Straight_On,Pot,NAS,third_object,water_jug,9
Straight_On,Pot,vgg,third_object,coffeepot,4
Straight_On,Soap_dispenser,incep,first_object,lotion,68
Straight_On,Soap_dispenser,NAS,first_object,soap_dispenser,46
Straight_On,Soap_dispenser,vgg,first_object,soap_dispenser,98
Straight_On,Soap_dispenser,incep,second_object,soap_dispenser,21
Straight_On,Soap_dispenser,NAS,second_object,lotion,37
Straight_On,Soap_dispenser,vgg,second_object,water_bottle,0
Straight_On,Soap_dispenser,incep,third_object,hair_spray,2
Straight_On,Soap_dispenser,NAS,third_object,sunscreen,1
Straight_On,Soap_dispenser,vgg,third_object,lotion,0
Straight_On,Sunglasses,incep,first_object,sunglasses,39
Straight_On,Sunglasses,NAS,first_object,sunglasses,73
Straight_On,Sunglasses,vgg,first_object,puck,80
Straight_On,Sunglasses,incep,second_object,sunglass,35
Straight_On,Sunglasses,NAS,second_object,sunglass,25
Straight_On,Sunglasses,vgg,second_object,balloon,7
Straight_On,Sunglasses,incep,third_object,sandbar,3
Straight_On,Sunglasses,NAS,third_object,sandbar,0
Straight_On,Sunglasses,vgg,third_object,soccer_ball,2
Straight_On,Umbrella,incep,first_object,umbrella,100
Straight_On,Umbrella,NAS,first_object,umbrella,89
Straight_On,Umbrella,vgg,first_object,umbrella,87
Straight_On,Umbrella,incep,second_object,mountain_tent,0
Straight_On,Umbrella,NAS,second_object,kimono,0
Straight_On,Umbrella,vgg,second_object,mortarboard,4
Straight_On,Umbrella,incep,third_object,lampshade,0
Straight_On,Umbrella,NAS,third_object,table_lamp,0
Straight_On,Umbrella,vgg,third_object,table_lamp,2
Straight_On,Wine_bottle,incep,first_object,wine_bottle,80
Straight_On,Wine_bottle,NAS,first_object,wine_bottle,72
Straight_On,Wine_bottle,vgg,first_object,beer_bottle,43
Straight_On,Wine_bottle,incep,second_object,beer_bottle,13
Straight_On,Wine_bottle,NAS,second_object,beer_bottle,10
Straight_On,Wine_bottle,vgg,second_object,wine_bottle,35
Straight_On,Wine_bottle,incep,third_object,red_wine,1
Straight_On,Wine_bottle,NAS,third_object,red_wine,5
Straight_On,Wine_bottle,vgg,third_object,red_wine,7
Back,Coffee_mug,incep,first_object,coffee_mug,73
Back,Coffee_mug,NAS,first_object,coffee_mug,83
Back,Coffee_mug,vgg,first_object,cup,54
Back,Coffee_mug,incep,second_object,cup,19
